#peversion=v.5.1.0-r7294,prefix=,time=12.05.2015 07:02:22,interval=200,licensetype=CUSTOM
#type=ProcessedLocation,formatid=Processed location CSV,project=BasketBall example,projectversion=unknown,testingmode=false
#format=$e$R,$i,$n,$c,$x2,$y2,$z2,$vx2,$vy2,$vz2,$q2,$G;$R
#tags=78a50469d9fa
10800,78a50469d9fa,Ball,0001,7.04,-5.71,1.53,1.20,-1.45,-2.66,0.50,ActiveZone
11000,78a50469d9fa,Ball,0001,7.28,-5.81,0.99,1.06,0.16,-2.53,0.50,ActiveZone
11200,78a50469d9fa,Ball,0001,7.43,-5.77,0.56,0.50,-0.04,-1.80,0.52,ActiveZone
11400,78a50469d9fa,Ball,0001,7.50,-5.82,0.30,0.21,-0.40,-0.73,0.52,ActiveZone
11600,78a50469d9fa,Ball,0001,7.53,-5.90,0.30,0.14,-0.27,0.85,0.52,ActiveZone
11800,78a50469d9fa,Ball,0001,7.57,-5.90,0.67,0.30,0.30,2.96,0.49,ActiveZone
12000,78a50469d9fa,Ball,0001,7.68,-5.77,1.45,0.83,1.03,4.65,0.49,ActiveZone
12200,78a50469d9fa,Ball,0001,7.93,-5.48,2.49,1.79,1.86,5.68,0.49,ActiveZone
12400,78a50469d9fa,Ball,0001,8.43,-5.01,3.65,3.26,2.91,5.53,0.45,ActiveZone
12600,78a50469d9fa,Ball,0001,9.18,-4.35,4.62,4.02,3.62,4.00,0.45,ActiveZone
12800,78a50469d9fa,Ball,0001,9.93,-3.63,5.12,3.46,3.56,1.08,0.47,ActiveZone
13000,78a50469d9fa,Ball,0001,10.58,-2.91,5.10,3.18,3.71,-1.15,0.47,ActiveZone
13200,78a50469d9fa,Ball,0001,11.23,-2.13,4.72,3.31,4.02,-2.63,0.48,ActiveZone
13400,78a50469d9fa,Ball,0001,11.87,-1.37,4.08,2.91,3.40,-3.71,0.48,ActiveZone
13600,78a50469d9fa,Ball,0001,12.33,-0.85,3.26,1.54,1.63,-4.37,0.48,ActiveZone
13800,78a50469d9fa,Ball,0001,12.42,-0.79,2.35,-0.81,-1.25,-4.62,0.53,ActiveZone
14000,78a50469d9fa,Ball,0001,12.05,-1.20,1.40,-2.51,-2.54,-4.75,0.53,ActiveZone
14200,78a50469d9fa,Ball,0001,11.56,-1.66,0.53,-1.87,-1.65,-3.71,0.58,ActiveZone
14400,78a50469d9fa,Ball,0001,11.55,-1.74,0.04,1.32,0.70,-1.36,0.58,ActiveZone
14600,78a50469d9fa,Ball,0001,11.94,-1.44,-0.08,2.25,2.21,0.03,0.58,ActiveZone
14800,78a50469d9fa,Ball,0001,12.29,-0.91,-0.01,0.80,2.90,0.41,0.61,ActiveZone
15000,78a50469d9fa,Ball,0001,12.16,-0.31,0.03,-1.85,3.04,0.02,0.61,ActiveZone
15200,78a50469d9fa,Ball,0001,11.67,0.28,0.01,-2.81,2.79,-0.14,0.61,ActiveZone
15400,78a50469d9fa,Ball,0001,11.19,0.77,-0.01,-1.92,2.20,0.01,0.57,ActiveZone
15600,78a50469d9fa,Ball,0001,10.86,1.18,0.02,-1.44,1.94,0.20,0.57,ActiveZone
15800,78a50469d9fa,Ball,0001,10.58,1.57,0.08,-1.51,2.04,0.44,0.57,ActiveZone
16000,78a50469d9fa,Ball,0001,10.21,2.04,0.19,-2.18,2.62,0.62,0.55,ActiveZone
16200,78a50469d9fa,Ball,0001,9.70,2.58,0.29,-2.97,2.62,0.30,0.55,ActiveZone
16400,78a50469d9fa,Ball,0001,9.05,3.03,0.30,-3.42,1.88,-0.20,0.54,ActiveZone
16600,78a50469d9fa,Ball,0001,8.34,3.33,0.23,-3.70,1.13,-0.39,0.54,ActiveZone
16800,78a50469d9fa,Ball,0001,7.58,3.49,0.16,-3.92,0.48,-0.28,0.54,ActiveZone
17000,78a50469d9fa,Ball,0001,6.76,3.58,0.13,-4.25,0.55,-0.03,0.53,ActiveZone
17200,78a50469d9fa,Ball,0001,5.92,3.69,0.16,-4.03,0.50,0.42,0.53,ActiveZone
17400,78a50469d9fa,Ball,0001,5.19,3.74,0.30,-3.32,-0.20,0.78,0.52,ActiveZone
17600,78a50469d9fa,Ball,0001,4.54,3.64,0.46,-3.24,-0.60,0.90,0.52,ActiveZone
17800,78a50469d9fa,Ball,0001,3.85,3.56,0.69,-3.86,-0.02,1.37,0.52,ActiveZone
18000,78a50469d9fa,Ball,0001,2.94,3.70,1.01,-5.26,1.51,1.80,0.52,ActiveZone
18200,78a50469d9fa,Ball,0001,1.78,4.13,1.37,-6.27,2.70,1.70,0.52,ActiveZone
18400,78a50469d9fa,Ball,0001,0.48,4.74,1.67,-6.58,3.23,1.15,0.52,ActiveZone
18600,78a50469d9fa,Ball,0001,-0.82,5.32,1.74,-6.39,2.61,-0.37,0.52,ActiveZone
18800,78a50469d9fa,Ball,0001,-2.06,5.78,1.55,-5.97,1.98,-1.50,0.55,ActiveZone
19000,78a50469d9fa,Ball,0001,-3.18,6.12,1.16,-5.12,1.36,-2.27,0.55,ActiveZone
19200,78a50469d9fa,Ball,0001,-4.10,6.30,0.70,-4.02,0.33,-2.21,0.55,ActiveZone
19400,78a50469d9fa,Ball,0001,-4.77,6.22,0.33,-2.67,-1.13,-1.31,0.55,ActiveZone
19600,78a50469d9fa,Ball,0001,-5.17,5.84,0.23,-1.55,-2.58,0.34,0.56,ActiveZone
19800,78a50469d9fa,Ball,0001,-5.46,5.26,0.43,-1.57,-3.01,1.55,0.56,ActiveZone
20000,78a50469d9fa,Ball,0001,-5.87,4.70,0.80,-2.70,-2.42,2.08,0.56,ActiveZone
20200,78a50469d9fa,Ball,0001,-6.63,4.14,1.18,-4.87,-3.50,1.52,0.52,ActiveZone
20400,78a50469d9fa,Ball,0001,-7.77,3.33,1.39,-6.29,-4.46,0.56,0.52,ActiveZone
20600,78a50469d9fa,Ball,0001,-9.06,2.45,1.37,-6.35,-4.07,-0.67,0.50,ActiveZone
20800,78a50469d9fa,Ball,0001,-10.24,1.76,1.17,-5.33,-2.73,-1.21,0.50,ActiveZone
21000,78a50469d9fa,Ball,0001,-11.13,1.40,0.95,-3.37,-0.69,-0.92,0.50,ActiveZone
21200,78a50469d9fa,Ball,0001,-11.49,1.45,0.75,-0.24,0.80,-1.26,0.48,ActiveZone
21400,78a50469d9fa,Ball,0001,-11.32,1.63,0.46,1.64,0.88,-1.52,0.48,ActiveZone
21600,78a50469d9fa,Ball,0001,-10.98,1.71,0.20,1.47,-0.24,-1.01,0.57,ActiveZone
21800,78a50469d9fa,Ball,0001,-10.77,1.56,0.09,0.58,-1.22,-0.07,0.57,ActiveZone
22000,78a50469d9fa,Ball,0001,-10.78,1.24,0.19,-0.73,-1.85,1.17,0.57,ActiveZone
22200,78a50469d9fa,Ball,0001,-11.07,0.89,0.65,-2.03,-1.62,3.41,0.56,ActiveZone
22400,78a50469d9fa,Ball,0001,-11.54,0.60,1.47,-2.58,-1.25,4.51,0.56,ActiveZone
22600,78a50469d9fa,Ball,0001,-12.05,0.40,2.35,-2.40,-0.59,3.97,0.48,ActiveZone
22800,78a50469d9fa,Ball,0001,-12.48,0.37,3.00,-1.93,0.27,2.41,0.48,ActiveZone
23000,78a50469d9fa,Ball,0001,-12.81,0.50,3.29,-1.28,0.95,0.47,0.48,ActiveZone
23200,78a50469d9fa,Ball,0001,-12.95,0.75,3.10,-0.25,1.55,-2.20,0.48,ActiveZone
23400,78a50469d9fa,Ball,0001,-12.94,1.08,2.52,0.33,1.66,-3.26,0.48,ActiveZone
23600,78a50469d9fa,Ball,0001,-12.86,1.38,1.91,0.34,1.16,-2.59,0.50,ActiveZone
23800,78a50469d9fa,Ball,0001,-12.82,1.55,1.48,0.10,0.69,-1.77,0.50,ActiveZone
24000,78a50469d9fa,Ball,0001,-12.80,1.71,1.14,0.14,0.99,-1.78,0.50,ActiveZone
24200,78a50469d9fa,Ball,0001,-12.75,2.00,0.72,0.25,2.09,-2.37,0.53,ActiveZone
24400,78a50469d9fa,Ball,0001,-12.75,2.54,0.32,-0.12,3.23,-1.49,0.53,ActiveZone
24600,78a50469d9fa,Ball,0001,-12.75,3.25,0.19,0.27,3.68,0.31,0.53,ActiveZone
24800,78a50469d9fa,Ball,0001,-12.55,4.00,0.42,1.86,3.84,1.69,0.50,ActiveZone
25000,78a50469d9fa,Ball,0001,-12.04,4.75,0.75,3.12,3.53,1.28,0.50,ActiveZone
25200,78a50469d9fa,Ball,0001,-11.35,5.37,0.83,3.68,2.56,-0.73,0.58,ActiveZone
25400,78a50469d9fa,Ball,0001,-10.66,5.70,0.57,3.15,0.86,-1.62,0.58,ActiveZone
25600,78a50469d9fa,Ball,0001,-10.08,5.77,0.27,2.72,0.10,-1.03,0.55,ActiveZone
25800,78a50469d9fa,Ball,0001,-9.53,5.82,0.19,2.79,0.37,0.09,0.55,ActiveZone
26000,78a50469d9fa,Ball,0001,-8.96,5.93,0.25,3.01,0.82,0.35,0.55,ActiveZone
26200,78a50469d9fa,Ball,0001,-8.32,6.16,0.27,3.36,1.47,-0.23,0.59,ActiveZone
26400,78a50469d9fa,Ball,0001,-7.64,6.50,0.23,3.39,1.68,-0.14,0.59,ActiveZone
26600,78a50469d9fa,Ball,0001,-6.99,6.72,0.24,3.05,0.23,0.26,0.59,ActiveZone
26800,78a50469d9fa,Ball,0001,-6.44,6.48,0.35,2.49,-3.07,0.69,0.55,ActiveZone
27000,78a50469d9fa,Ball,0001,-5.96,5.50,0.43,2.29,-6.28,0.15,0.55,ActiveZone
27200,78a50469d9fa,Ball,0001,-5.52,4.14,0.43,2.09,-6.95,-0.15,0.55,ActiveZone
27400,78a50469d9fa,Ball,0001,-5.13,2.92,0.41,1.89,-4.88,0.06,0.54,ActiveZone
27600,78a50469d9fa,Ball,0001,-4.72,2.15,0.45,2.32,-2.95,0.23,0.54,ActiveZone
27800,78a50469d9fa,Ball,0001,-4.14,1.68,0.49,3.76,-1.99,0.08,0.55,ActiveZone
28000,78a50469d9fa,Ball,0001,-3.22,1.31,0.47,5.25,-1.68,-0.20,0.55,ActiveZone
28200,78a50469d9fa,Ball,0001,-2.14,1.01,0.42,5.09,-1.36,-0.06,0.52,ActiveZone
28400,78a50469d9fa,Ball,0001,-1.25,0.77,0.46,3.94,-1.01,0.37,0.52,ActiveZone
28600,78a50469d9fa,Ball,0001,-0.52,0.61,0.54,3.55,-0.61,0.24,0.52,ActiveZone
28800,78a50469d9fa,Ball,0001,0.22,0.53,0.52,3.92,-0.14,-0.44,0.52,ActiveZone
29000,78a50469d9fa,Ball,0001,1.08,0.57,0.42,4.59,0.55,-0.22,0.54,ActiveZone
29200,78a50469d9fa,Ball,0001,2.01,0.72,0.47,4.62,0.84,0.79,0.54,ActiveZone
29400,78a50469d9fa,Ball,0001,2.89,0.86,0.74,4.01,0.50,1.93,0.52,ActiveZone
29600,78a50469d9fa,Ball,0001,3.65,0.89,1.21,3.91,-0.26,2.67,0.52,ActiveZone
29800,78a50469d9fa,Ball,0001,4.57,0.76,1.77,5.84,-1.07,2.58,0.49,ActiveZone
30000,78a50469d9fa,Ball,0001,6.06,0.47,2.15,8.75,-1.74,1.23,0.49,ActiveZone
30200,78a50469d9fa,Ball,0001,7.96,0.11,2.27,10.02,-1.73,0.02,0.49,ActiveZone
30400,78a50469d9fa,Ball,0001,9.95,-0.18,2.17,9.65,-1.05,-1.04,0.49,ActiveZone
30600,78a50469d9fa,Ball,0001,11.71,-0.26,1.91,7.74,0.35,-0.97,0.55,ActiveZone
30800,78a50469d9fa,Ball,0001,13.11,-0.04,1.75,6.51,1.82,-0.93,0.55,ActiveZone
31000,78a50469d9fa,Ball,0001,14.41,0.45,1.43,6.72,3.09,-2.55,0.69,ActiveZone
31200,78a50469d9fa,Ball,0001,15.80,1.15,0.79,6.99,3.66,-3.41,0.69,
31400,78a50469d9fa,Ball,0001,17.13,1.83,0.23,6.16,3.03,-1.76,0.69,
31600,78a50469d9fa,Ball,0001,18.23,2.25,0.24,5.03,0.71,1.81,0.79,
31800,78a50469d9fa,Ball,0001,19.14,2.21,0.72,4.03,-0.73,2.27,0.79,
32000,78a50469d9fa,Ball,0001,19.80,2.11,0.87,2.41,0.10,-1.45,0.79,
32200,78a50469d9fa,Ball,0001,20.00,2.40,-0.14,0.18,3.19,-9.35,0.79,
43000,78a50469d9fa,Ball,0001,19.32,3.91,0.53,-4.50,0.14,0.98,0.78,
43200,78a50469d9fa,Ball,0001,18.56,3.89,0.54,-3.19,-0.37,-0.61,0.78,
43400,78a50469d9fa,Ball,0001,18.01,3.76,0.41,-2.47,-0.77,-0.48,0.84,
43600,78a50469d9fa,Ball,0001,17.56,3.61,0.35,-1.94,-0.67,-0.13,0.84,
43800,78a50469d9fa,Ball,0001,17.25,3.53,0.33,-1.20,-0.07,-0.15,0.84,
44000,78a50469d9fa,Ball,0001,17.10,3.62,0.27,-0.25,1.01,-0.52,0.84,
44200,78a50469d9fa,Ball,0001,17.06,3.81,0.17,-0.33,0.72,-0.37,0.74,
44400,78a50469d9fa,Ball,0001,16.93,3.92,0.12,-1.00,0.48,-0.13,0.74,
44600,78a50469d9fa,Ball,0001,16.64,4.02,0.15,-1.86,0.58,0.63,0.74,
44800,78a50469d9fa,Ball,0001,16.25,4.15,0.38,-1.93,0.72,1.55,0.74,
45000,78a50469d9fa,Ball,0001,15.92,4.29,0.71,-1.15,0.65,1.29,0.64,
45200,78a50469d9fa,Ball,0001,15.79,4.40,0.81,-0.21,0.43,-0.17,0.64,
45400,78a50469d9fa,Ball,0001,15.81,4.47,0.68,0.32,0.30,-1.06,0.64,
45600,78a50469d9fa,Ball,0001,15.89,4.53,0.43,0.48,0.26,-1.29,0.71,
45800,78a50469d9fa,Ball,0001,15.99,4.57,0.23,0.43,0.18,-0.72,0.71,
46000,78a50469d9fa,Ball,0001,16.03,4.61,0.12,-0.13,0.22,-0.35,0.71,
46200,78a50469d9fa,Ball,0001,15.95,4.64,0.07,-0.60,0.12,-0.19,0.71,
46400,78a50469d9fa,Ball,0001,15.81,4.66,0.05,-0.74,0.05,-0.02,0.71,
46600,78a50469d9fa,Ball,0001,15.67,4.67,0.07,-0.60,0.08,0.19,0.71,
46800,78a50469d9fa,Ball,0001,15.60,4.72,0.16,-0.09,0.47,0.68,0.65,
47000,78a50469d9fa,Ball,0001,15.63,4.84,0.31,0.29,0.64,0.82,0.65,
47200,78a50469d9fa,Ball,0001,15.69,4.96,0.43,0.35,0.55,0.30,0.64,
47400,78a50469d9fa,Ball,0001,15.77,5.05,0.44,0.40,0.35,-0.21,0.64,
47600,78a50469d9fa,Ball,0001,15.85,5.10,0.35,0.48,0.07,-0.66,0.64,
47800,78a50469d9fa,Ball,0001,15.92,5.13,0.20,-0.00,0.36,-0.80,0.70,
48000,78a50469d9fa,Ball,0001,15.86,5.21,0.05,-0.52,0.42,-0.62,0.70,
48200,78a50469d9fa,Ball,0001,15.72,5.26,-0.04,-0.72,0.07,-0.20,0.70,
48400,78a50469d9fa,Ball,0001,15.60,5.25,-0.04,-0.46,-0.17,0.15,0.70,
48600,78a50469d9fa,Ball,0001,15.55,5.19,0.00,-0.03,-0.45,0.24,0.70,
48800,78a50469d9fa,Ball,0001,15.58,5.09,0.03,0.20,-0.34,-0.00,0.72,
49000,78a50469d9fa,Ball,0001,15.61,5.06,0.01,0.07,0.02,-0.15,0.72,
49200,78a50469d9fa,Ball,0001,15.60,5.09,-0.01,-0.19,0.20,0.09,0.68,
49400,78a50469d9fa,Ball,0001,15.54,5.08,0.12,-0.44,-0.36,1.06,0.68,
49600,78a50469d9fa,Ball,0001,15.43,4.95,0.36,-0.57,-0.87,1.13,0.68,
49800,78a50469d9fa,Ball,0001,15.33,4.73,0.52,-0.24,-1.33,0.42,0.64,
50000,78a50469d9fa,Ball,0001,15.34,4.46,0.55,0.30,-1.21,-0.04,0.64,
50200,78a50469d9fa,Ball,0001,15.41,4.31,0.53,0.29,-0.21,-0.02,0.64,
50400,78a50469d9fa,Ball,0001,15.41,4.40,0.54,-0.31,1.00,0.08,0.66,
50600,78a50469d9fa,Ball,0001,15.31,4.62,0.55,-0.62,1.01,-0.03,0.66,
50800,78a50469d9fa,Ball,0001,15.18,4.72,0.52,-0.57,-0.25,-0.33,0.65,ActiveZone
51000,78a50469d9fa,Ball,0001,15.13,4.51,0.41,0.03,-1.61,-0.70,0.65,ActiveZone
51200,78a50469d9fa,Ball,0001,15.20,4.18,0.25,0.75,-1.27,-0.92,0.74,
51400,78a50469d9fa,Ball,0001,15.41,4.04,0.06,1.19,-0.29,-0.92,0.74,
51600,78a50469d9fa,Ball,0001,15.63,4.02,-0.08,0.93,-0.03,-0.41,0.74,
51800,78a50469d9fa,Ball,0001,15.68,3.95,0.02,-0.37,-0.62,1.34,0.73,
52000,78a50469d9fa,Ball,0001,15.53,3.81,0.38,-1.08,-0.60,2.05,0.73,
52200,78a50469d9fa,Ball,0001,15.29,3.75,0.76,-1.13,0.07,1.62,0.73,
52400,78a50469d9fa,Ball,0001,15.15,3.89,0.92,-0.29,1.28,-0.12,0.68,ActiveZone
52600,78a50469d9fa,Ball,0001,15.04,4.14,0.80,-1.19,0.91,-0.88,0.68,ActiveZone
52800,78a50469d9fa,Ball,0001,14.52,4.12,0.67,-4.74,-1.66,-0.19,0.57,ActiveZone
53000,78a50469d9fa,Ball,0001,13.16,3.47,0.72,-8.21,-4.37,0.57,0.57,ActiveZone
53200,78a50469d9fa,Ball,0001,11.48,2.55,0.82,-7.93,-4.46,0.26,0.57,ActiveZone
53400,78a50469d9fa,Ball,0001,10.24,1.87,0.76,-3.66,-1.78,-0.82,0.55,ActiveZone
53600,78a50469d9fa,Ball,0001,10.11,1.89,0.63,1.77,1.64,-0.40,0.55,ActiveZone
53800,78a50469d9fa,Ball,0001,10.74,2.36,0.63,4.02,2.70,0.41,0.55,ActiveZone
54000,78a50469d9fa,Ball,0001,11.41,2.72,0.84,2.70,0.93,1.65,0.51,ActiveZone
54200,78a50469d9fa,Ball,0001,11.84,2.78,1.25,1.58,-0.18,2.33,0.51,ActiveZone
54400,78a50469d9fa,Ball,0001,12.06,2.69,1.74,0.72,-0.57,2.42,0.51,ActiveZone
54600,78a50469d9fa,Ball,0001,12.16,2.64,2.04,0.34,-0.12,0.71,0.48,ActiveZone
54800,78a50469d9fa,Ball,0001,12.24,2.58,2.10,0.54,-0.61,0.01,0.48,ActiveZone
55000,78a50469d9fa,Ball,0001,12.43,2.30,2.15,1.57,-2.55,0.85,0.49,ActiveZone
55200,78a50469d9fa,Ball,0001,12.82,1.61,2.41,2.17,-4.07,1.54,0.49,ActiveZone
55400,78a50469d9fa,Ball,0001,13.22,0.78,2.68,1.37,-3.62,0.77,0.53,ActiveZone
55600,78a50469d9fa,Ball,0001,13.32,0.28,2.66,-0.17,-1.51,-0.83,0.53,ActiveZone
55800,78a50469d9fa,Ball,0001,13.22,0.12,2.43,-0.60,-0.22,-1.17,0.53,ActiveZone
56000,78a50469d9fa,Ball,0001,13.17,0.11,2.24,0.28,-0.24,-0.91,0.54,ActiveZone
56200,78a50469d9fa,Ball,0001,13.32,0.02,2.02,1.08,-0.57,-1.39,0.54,ActiveZone
56400,78a50469d9fa,Ball,0001,13.57,-0.11,1.64,1.36,-0.74,-2.59,0.54,ActiveZone
56600,78a50469d9fa,Ball,0001,13.79,-0.22,1.06,0.71,-0.13,-2.61,0.61,ActiveZone
56800,78a50469d9fa,Ball,0001,13.90,-0.19,0.62,0.53,0.30,-1.75,0.61,ActiveZone
57000,78a50469d9fa,Ball,0001,14.06,-0.15,0.36,1.20,-0.02,-0.94,0.61,ActiveZone
57200,78a50469d9fa,Ball,0001,14.36,-0.18,0.25,1.70,-0.18,-0.15,0.61,ActiveZone
57400,78a50469d9fa,Ball,0001,14.71,-0.18,0.30,1.76,0.33,0.71,0.61,ActiveZone
57600,78a50469d9fa,Ball,0001,15.03,-0.00,0.47,1.36,1.33,0.71,0.60,ActiveZone
57800,78a50469d9fa,Ball,0001,15.27,0.30,0.57,1.03,1.52,0.32,0.60,
58000,78a50469d9fa,Ball,0001,15.45,0.54,0.60,0.84,0.72,-0.07,0.60,
